GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,universum.studios.android.transition.util,AnimatorWrapper,7,318,9,51,4,80,9,49,0,28
library,universum.studios.android.transition.util,AnimatorWrapper.AnimatorPauseListenerWrapper,0,19,0,0,0,6,0,3,0,3
library,universum.studios.android.transition.util,AnimatorWrapper.BaseAnimatorListenerWrapper,0,9,0,0,0,4,0,1,0,1
library,universum.studios.android.transition.util,TransitionUtils,0,13,0,2,0,3,0,3,0,2
library,universum.studios.android.transition.util,AnimatorWrapper.AnimatorListenerWrapper,0,33,0,0,0,10,0,5,0,5
library,universum.studios.android.transition,BaseNavigationalTransition,38,545,8,74,12,136,7,82,3,45
library,universum.studios.android.transition,Reveal.Info,0,3,0,0,0,1,0,1,0,1
library,universum.studios.android.transition,Reveal.TransitionAnimatorListener,0,24,0,0,0,9,0,3,0,3
library,universum.studios.android.transition,Reveal,140,639,26,30,25,148,14,63,0,48
library,universum.studios.android.transition,BasicWindowTransition.new Parcelable.Creator() {...},0,11,0,0,0,3,0,3,0,3
library,universum.studios.android.transition,Translate.new Translate.DeltaResolver() {...},10,25,2,1,2,5,2,4,0,4
library,universum.studios.android.transition,ExtraWindowTransitions,0,43,0,0,0,6,0,2,0,2
library,universum.studios.android.transition,Translate,43,361,6,16,10,85,4,25,0,18
library,universum.studios.android.transition,Translate.TransitionAnimatorListener,4,124,1,3,1,31,1,10,0,9
library,universum.studios.android.transition,NavigationalTransitionCompat,0,70,0,6,0,22,0,9,0,6
library,universum.studios.android.transition,Scale,55,380,9,21,9,72,5,30,0,20
library,universum.studios.android.transition,NavigationalTransition,0,70,0,6,0,22,0,9,0,6
library,universum.studios.android.transition,Translate.Description,63,0,12,0,18,0,9,0,2,0
library,universum.studios.android.transition,BasicWindowTransition,0,113,0,0,0,35,0,14,0,14
library,universum.studios.android.transition,WindowTransitions,0,106,0,0,0,13,0,2,0,2
library,universum.studios.android.transition,Scale.Info,0,3,0,0,0,1,0,1,0,1
library,universum.studios.android.transition,BaseNavigationalTransition.new Runnable() {...},0,28,0,6,0,7,0,5,0,2
